"Record_number","Study_midyear","Latitude","Longitude","Site.x","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Site.y"
11,2001.5,55.86,-98.48,"55.75 -98.25",49.725,39.3916666666667,45.5,34.6916666666667,37.0083333333333,44.475,32.425,37.5,32.1916666666667,38.7583333333333,41.825,50.5666666666667,35.675,41.125,49.2666666666667,39.675,42.0166666666667,30.6083333333333,38.5666666666667,67.8416666666667,43.5916666666667,47.9666666666667,41.5916666666667,42.65,42.7,40.1583333333333,45.425,36.2083333333333,44.2333333333333,42.7833333333333,45.9833333333333,43.4083333333333,"55.75 -98.25"
12,2001.5,55.92,-98.39,"55.75 -98.25",49.725,39.3916666666667,45.5,34.6916666666667,37.0083333333333,44.475,32.425,37.5,32.1916666666667,38.7583333333333,41.825,50.5666666666667,35.675,41.125,49.2666666666667,39.675,42.0166666666667,30.6083333333333,38.5666666666667,67.8416666666667,43.5916666666667,47.9666666666667,41.5916666666667,42.65,42.7,40.1583333333333,45.425,36.2083333333333,44.2333333333333,42.7833333333333,45.9833333333333,43.4083333333333,"55.75 -98.25"
13,2001.5,55.91,-98.51,"55.75 -98.75",46.025,38.3333333333333,42.9333333333333,32.9666666666667,36.075,44.0833333333333,33.2666666666667,37.4333333333333,32.725,37.55,41.9083333333333,48.9416666666667,34.0333333333333,40.5166666666667,39.925,34.4666666666667,33.475,28.9333333333333,31.125,61.3833333333333,40.6416666666667,44.35,39.5416666666667,41.6666666666667,41.2333333333333,38.3166666666667,42.9,34.4,40.8,42.1166666666667,44.725,43.025,"55.75 -98.75"
14,2001.5,55.88,-98.48,"55.75 -98.25",49.725,39.3916666666667,45.5,34.6916666666667,37.0083333333333,44.475,32.425,37.5,32.1916666666667,38.7583333333333,41.825,50.5666666666667,35.675,41.125,49.2666666666667,39.675,42.0166666666667,30.6083333333333,38.5666666666667,67.8416666666667,43.5916666666667,47.9666666666667,41.5916666666667,42.65,42.7,40.1583333333333,45.425,36.2083333333333,44.2333333333333,42.7833333333333,45.9833333333333,43.4083333333333,"55.75 -98.25"
46,1997.5,50.13,11.87,"50.25 11.75",87.6666666666667,76.1583333333333,80.2583333333333,68.6916666666667,66.6,51.35,65.5833333333333,70.925,79.2,87.675,57.6833333333333,65.0083333333333,85.8166666666667,73.2166666666667,68.3083333333333,76.9416666666667,84.5916666666667,51.2666666666667,71.6916666666667,70.2166666666667,66.9083333333333,88.75,66.5833333333333,67.325,76.3583333333333,59.3416666666667,63.1916666666667,66.5333333333333,55.7083333333333,55.0166666666667,63.9666666666667,69.375,"50.25 11.75"
47,1997.5,50.13,11.87,"50.25 11.75",87.6666666666667,76.1583333333333,80.2583333333333,68.6916666666667,66.6,51.35,65.5833333333333,70.925,79.2,87.675,57.6833333333333,65.0083333333333,85.8166666666667,73.2166666666667,68.3083333333333,76.9416666666667,84.5916666666667,51.2666666666667,71.6916666666667,70.2166666666667,66.9083333333333,88.75,66.5833333333333,67.325,76.3583333333333,59.3416666666667,63.1916666666667,66.5333333333333,55.7083333333333,55.0166666666667,63.9666666666667,69.375,"50.25 11.75"
48,1997.5,50.13,11.87,"50.25 11.75",87.6666666666667,76.1583333333333,80.2583333333333,68.6916666666667,66.6,51.35,65.5833333333333,70.925,79.2,87.675,57.6833333333333,65.0083333333333,85.8166666666667,73.2166666666667,68.3083333333333,76.9416666666667,84.5916666666667,51.2666666666667,71.6916666666667,70.2166666666667,66.9083333333333,88.75,66.5833333333333,67.325,76.3583333333333,59.3416666666667,63.1916666666667,66.5333333333333,55.7083333333333,55.0166666666667,63.9666666666667,69.375,"50.25 11.75"
65,1995,42.87,172.75,"-42.75 172.75",63.9833333333333,55.6666666666667,45.7,56.9416666666667,55.8333333333333,59.675,54.4,45.9666666666667,51.5166666666667,70.3916666666667,57.8166666666667,36.9666666666667,33.1666666666667,16.7166666666667,39.675,33.2583333333333,41.7416666666667,40.2916666666667,44.8333333333333,31.825,45.8,29.1416666666667,49.2416666666667,37.725,46.825,41.6333333333333,40.0416666666667,50.7666666666667,44.0833333333333,36.0166666666667,47.6166666666667,54.6,"-42.75 172.75"
69,2001,64.8,-147.87,"64.75 -147.75",22.175,15.7416666666667,22.8583333333333,21.8916666666667,36.5916666666667,21.45,28.2666666666667,24.2416666666667,22.3916666666667,20.9416666666667,25.9416666666667,15.8666666666667,23.3416666666667,23.275,26.8166666666667,18.725,31.4916666666667,28.1166666666667,19.0166666666667,25.5416666666667,21.9083333333333,25.0666666666667,30.1583333333333,21.3083333333333,24.25,23.4083333333333,25.7,23.9166666666667,35.5666666666667,32.85,33.8416666666667,33.4416666666667,"64.75 -147.75"
70,2001,64.8,-147.87,"64.75 -147.75",22.175,15.7416666666667,22.8583333333333,21.8916666666667,36.5916666666667,21.45,28.2666666666667,24.2416666666667,22.3916666666667,20.9416666666667,25.9416666666667,15.8666666666667,23.3416666666667,23.275,26.8166666666667,18.725,31.4916666666667,28.1166666666667,19.0166666666667,25.5416666666667,21.9083333333333,25.0666666666667,30.1583333333333,21.3083333333333,24.25,23.4083333333333,25.7,23.9166666666667,35.5666666666667,32.85,33.8416666666667,33.4416666666667,"64.75 -147.75"
