"Record_number","Study_midyear","Latitude","Longitude","Site.x","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","Site.y"
2030,2000.5,51.77,9.58,"51.75 9.75",8.03333333333333,7.375,9.19166666666667,9.775,9.40833333333333,7.94166666666667,8.84166666666667,7.90833333333333,9.21666666666667,8.48333333333333,6.65,8.525,8.64166666666667,9.28333333333333,9.575,8.64166666666667,9.04166666666667,8.925,8.44166666666667,8.675,9.05833333333333,9.425,8.99166666666667,8.38333333333333,7.03333333333333,9.06666666666667,8.46666666666667,8.06666666666667,9.775,9.3,9.01666666666667,8.95833333333333,"51.75 9.75"
2031,2000.5,51.77,9.58,"51.75 9.75",8.03333333333333,7.375,9.19166666666667,9.775,9.40833333333333,7.94166666666667,8.84166666666667,7.90833333333333,9.21666666666667,8.48333333333333,6.65,8.525,8.64166666666667,9.28333333333333,9.575,8.64166666666667,9.04166666666667,8.925,8.44166666666667,8.675,9.05833333333333,9.425,8.99166666666667,8.38333333333333,7.03333333333333,9.06666666666667,8.46666666666667,8.06666666666667,9.775,9.3,9.01666666666667,8.95833333333333,"51.75 9.75"
2032,2000.5,51.77,9.58,"51.75 9.75",8.03333333333333,7.375,9.19166666666667,9.775,9.40833333333333,7.94166666666667,8.84166666666667,7.90833333333333,9.21666666666667,8.48333333333333,6.65,8.525,8.64166666666667,9.28333333333333,9.575,8.64166666666667,9.04166666666667,8.925,8.44166666666667,8.675,9.05833333333333,9.425,8.99166666666667,8.38333333333333,7.03333333333333,9.06666666666667,8.46666666666667,8.06666666666667,9.775,9.3,9.01666666666667,8.95833333333333,"51.75 9.75"
2033,2000.5,51.77,9.58,"51.75 9.75",8.03333333333333,7.375,9.19166666666667,9.775,9.40833333333333,7.94166666666667,8.84166666666667,7.90833333333333,9.21666666666667,8.48333333333333,6.65,8.525,8.64166666666667,9.28333333333333,9.575,8.64166666666667,9.04166666666667,8.925,8.44166666666667,8.675,9.05833333333333,9.425,8.99166666666667,8.38333333333333,7.03333333333333,9.06666666666667,8.46666666666667,8.06666666666667,9.775,9.3,9.01666666666667,8.95833333333333,"51.75 9.75"
2050,2000,43.93,-71.75,"43.75 -71.75",5.86666666666667,6.09166666666667,5.65833333333333,5.15833333333333,6.86666666666667,6.50833333333333,5.075,5.48333333333333,5.79166666666667,6.15,6.08333333333333,5.49166666666667,7.64166666666667,7.33333333333333,5.90833333333333,6.99166666666667,6.65833333333333,5.75,5.925,6.73333333333333,7.49166666666667,6.10833333333333,5.475,5.06666666666667,7.61666666666667,6.48333333333333,7.55833333333333,6.36666666666667,5.60833333333333,5.85833333333333,6.80833333333333,6.44166666666667,"43.75 -71.75"
2134,2000.5,36.13,137.43,"36.25 137.25",9.575,10.7,9.63333333333333,10.5583333333333,11.225,9.93333333333333,9.825,9.36666666666667,10.4833333333333,9.39166666666667,9.34166666666667,9.925,11.0833333333333,10.4916666666667,10.3166666666667,10.0583333333333,10.3583333333333,10.0583333333333,10.9083333333333,9.91666666666667,10.0916666666667,10.55,10.25,10.3166666666667,10.6416666666667,10.0583333333333,9.90833333333333,10.3,9.83333333333333,10.6916666666667,11.1583333333333,9.95833333333333,"36.25 137.25"
2200,2001,62.87,30.82,"62.75 30.75",2.16666666666667,0.6,3.00833333333333,4.875,3.40833333333333,3.33333333333333,3.275,2.24166666666667,2.65,3.61666666666667,2.65833333333333,2.575,2.1,3.175,3.65833333333333,1.725,1.725,2.19166666666667,2.10833333333333,3.08333333333333,2.375,2.98333333333333,3.225,1.98333333333333,0.975,3.26666666666667,1.50833333333333,3.50833333333333,3.63333333333333,3.86666666666667,3.09166666666667,2.75833333333333,"62.75 30.75"
2201,2002,62.87,30.82,"62.75 30.75",2.16666666666667,0.6,3.00833333333333,4.875,3.40833333333333,3.33333333333333,3.275,2.24166666666667,2.65,3.61666666666667,2.65833333333333,2.575,2.1,3.175,3.65833333333333,1.725,1.725,2.19166666666667,2.10833333333333,3.08333333333333,2.375,2.98333333333333,3.225,1.98333333333333,0.975,3.26666666666667,1.50833333333333,3.50833333333333,3.63333333333333,3.86666666666667,3.09166666666667,2.75833333333333,"62.75 30.75"
2202,2003,62.87,30.82,"62.75 30.75",2.16666666666667,0.6,3.00833333333333,4.875,3.40833333333333,3.33333333333333,3.275,2.24166666666667,2.65,3.61666666666667,2.65833333333333,2.575,2.1,3.175,3.65833333333333,1.725,1.725,2.19166666666667,2.10833333333333,3.08333333333333,2.375,2.98333333333333,3.225,1.98333333333333,0.975,3.26666666666667,1.50833333333333,3.50833333333333,3.63333333333333,3.86666666666667,3.09166666666667,2.75833333333333,"62.75 30.75"
2203,2004,62.87,30.82,"62.75 30.75",2.16666666666667,0.6,3.00833333333333,4.875,3.40833333333333,3.33333333333333,3.275,2.24166666666667,2.65,3.61666666666667,2.65833333333333,2.575,2.1,3.175,3.65833333333333,1.725,1.725,2.19166666666667,2.10833333333333,3.08333333333333,2.375,2.98333333333333,3.225,1.98333333333333,0.975,3.26666666666667,1.50833333333333,3.50833333333333,3.63333333333333,3.86666666666667,3.09166666666667,2.75833333333333,"62.75 30.75"
